id	UNIPROT	geneLength
118	A2RTX5	2409
119	A2RTY3	1713
120	A2RU14	348
121	A2RU30	1566
122	A2RU48	678
123	A2RU54	822
124	A2RU67	1869
125	A2RUB6	2847
126	A2RUH7	1065
127	A2RUR9	4284
128	A2RUS2	3597
129	A2RUT3	480
130	A2VCK2	1050
131	A2VDF0	465
132	A2VDJ0	4830
133	A3KFJ0	1044
134	A3KMH1	5718
135	A3KN83	4182
136	A4D0S4	5286
137	A4D104	414
138	A4D161	897
139	A4D1B5	2565
140	A4D1E9	1164
141	A4D1P6	2244
142	A4D1S5	654
143	A4D2P6	3636
144	A4FU01	2130
145	A4FU49	1923
146	A4GXA9	1140
147	A4QMS7	444
148	A4QPB2	759
149	A4QPH2	1779
150	A4UGR9	10125
151	A5A3E0	3228
152	A5D8T8	1341
153	A5D8V6	1068
154	A5D8V7	1788
155	A5PKW4	3075
156	A5PL33	3093
157	A5PLL7	813
158	A5PLN9	1254
159	A5X5Y0	1371
160	A5YKK6	7131
161	A5YM72	2484
162	A6BM72	3135
163	A6H8Y1	7875
164	A6H8Z2	1209
165	A6NC98	4431
166	A6NCE7	378
167	A6NCF5	1602
168	A6ND01	753
169	A6ND36	2472
170	A6ND48	936
171	A6ND91	852
172	A6NDB9	2022
173	A6NDS4	1650
174	A6NDU8	885
175	A6NE52	4869
176	A6NE70	1869
177	A6NEK1	1029
178	A6NEM1	1299
179	A6NEM2	6243
180	A6NEQ0	1491
181	A6NEW6	1395
182	A6NFI3	3015
183	A6NFR6	1062
184	A6NFT4	927
185	A6NFY7	348
186	A6NG10	720
187	A6NGB9	1452
188	A6NGC4	795
189	A6NGG8	3867
190	A6NGK3	351
191	A6NGR9	2160
192	A6NH52	642
193	A6NHL2	1341
194	A6NHQ2	1005
195	A6NHQ4	1140
196	A6NHR9	6018
197	A6NHV6	1344
198	A6NI15	582
199	A6NI56	2004
200	A6NI79	891
201	A6NIH7	756
202	A6NIM6	1740
203	A6NIR3	2061
204	A6NIV6	1683
205	A6NJ69	162
206	A6NJ78	1224
207	A6NJB7	1071
208	A6NJZ7	4920
209	A6NK44	483
210	A6NK53	2013
211	A6NK75	1719
212	A6NK89	1524
213	A6NK97	1668
214	A6NKD2	927
215	A6NKD9	1260
216	A6NKE1	357
217	A6NKF2	1239
218	A6NKN8	207
219	A6NKT7	5277
220	A6NLX3	714
221	A6NMY6	1020
222	A6NN06	285
223	A6NNN6	6075
224	A6NNT2	3426
225	A6NNY8	1317
226	A6PVS8	1875
227	A6QL63	3315
228	A6XGL0	900
229	A6ZKI3	342
230	A7E2F4	1896
231	A7E2V4	5514
232	A7E2Y1	5952
233	A7KAX9	6264
234	A7MCY6	1848
235	A7MD48	1836
236	A7XYQ1	2622
237	A8CG34	3690
238	A8K0R7	2436
239	A8K0Z3	1398
240	A8K2U0	4365
241	A8K7I4	2745
242	A8K7Q2	1233
243	A8K8P3	3729
244	A8K8V0	1218
245	A8K979	2076
246	A8KAD9	1254
247	A8MQ03	435
248	A8MQ11	405
249	A8MQ27	1668
250	A8MRB1	285
251	A8MT69	246
252	A8MTA8	828
253	A8MTY0	1860
254	A8MTY9	750
255	A8MTZ0	279
256	A8MUD9	627
257	A8MUP2	723
258	A8MUS3	585
259	A8MV65	981
260	A8MV81	294
261	A8MVS5	693
262	A8MVW0	2481
263	A8MW92	3054
264	A8MW95	1296
265	A8MX94	525
266	A8MXD5	873
267	A8MXP9	2688
268	A8MXQ7	1683
269	A8MXV4	1128
270	A8MYJ7	1701
271	A8MYP8	762
272	A8MYU2	3450
273	A8MYZ6	1479
274	A8MZ97	585
275	A9IYQ1	909
276	A9QM74	1551
277	A9UHW6	669
278	A9Z1X7	2742
279	B0I1T2	3057
280	B0QY89	1824
281	B0YJ81	867
282	B1AK88	906
283	B1AKQ8	324
284	B1AL05	555
285	B1AL69	927
286	B1ALA9	858
287	B1ALG1	711
288	B1ALK7	2118
289	B1AM27	4869
290	B1AQ61	303
291	B1AVT0	1494
292	B2R5W2	873
293	B2RNN3	1002
294	B2RPK0	636
295	B2RTY4	7647
296	B2RUY7	669
297	B2RUZ4	237
298	B2RV13	495
299	B2RXF5	1269
300	B2RXH8	882
301	B2WTI3	1008
302	B3EWF7	1035
303	B3EWG5	270
304	B3KNS4	330
305	B4DDK6	567
306	B4DEH8	507
307	B4DF87	1545
308	B4DFN3	1161
309	B4DGU4	2325
310	B4DLN1	1329
311	B4DR80	1239
312	B4DUA4	417
313	B4DVN3	1188
314	B4DVT3	1449
315	B4DXD0	2139
316	B4DXZ6	1827
317	B4DY08	867
318	B4DZ85	1347
319	B4E127	804
320	B4E1G1	456
321	B4E1Q4	1512
322	B4E3T4	675
323	B5MC10	300
324	B5MC15	2433
325	B5MCE7	678
326	B5MCU0	2973
327	B5MCW2	819
328	B5MD87	414
329	B5MDE0	1509
330	B5MDF5	702
331	B5MDQ0	3384
332	B5ME19	2745
333	B5ME97	1635
334	B7Z3H4	1740
335	B7Z4B8	2304
336	B7Z503	1284
337	B7Z6Z4	717
338	B7ZAQ6	1368
339	B7ZBB8	1077
340	B7ZBC8	843
341	B7ZKJ8	2808
342	B7ZLI8	966
343	B8A4K4	555
344	B8ZZA8	510
345	B8ZZQ6	324
346	B9A064	645
347	C0H5X0	1182
348	C4AM86	1278
349	C6GKH1	507
350	C9J050	882
351	C9J0K6	468
352	C9J0Q5	7515
353	C9J1X0	2139
354	C9J2C0	1404
355	C9J2Y9	3504
356	C9J384	678
357	C9J4K5	1488
358	C9J6P4	3075
359	C9J9C1	1188
360	C9J9K3	792
361	C9JA28	525
362	C9JA69	2676
363	C9JAW5	252
364	C9JC32	2688
365	C9JCN9	225
366	C9JDE9	1152
367	C9JE12	459
368	C9JE98	7377
369	C9JFE4	1416
370	C9JFV4	3543
371	C9JG97	1248
372	C9JIZ3	399
373	C9JJ79	681
374	C9JJV6	441
375	C9JKI3	417
376	C9JLU1	447
377	C9JLW8	294
378	C9JMG5	441
379	C9JNE2	396
380	C9JNW5	453
381	C9JP00	1047
382	C9JPM4	384
383	C9JQV0	579
384	C9JRY4	657
385	C9JWI7	582
386	C9JWJ8	1212
387	C9JWL4	936
388	C9JX80	243
389	C9JXB8	366
390	C9JYE9	750
391	C9JYL6	546
392	C9JYM0	414
393	C9JYQ9	366
394	C9JZP6	678
395	C9K0J5	3909
396	D2IYK5	1038
397	D3DQZ6	258
398	D3DTT2	459
399	D3W0D1	624
400	D6R9M0	1560
401	D6R9U7	663
402	D6RA89	630
403	D6RA96	2358
404	D6RAN8	282
405	D6RBZ0	984
406	D6REM6	2385
407	D6REX3	3756
408	D6RF48	927
409	D6RF93	591
410	D6RFM5	1752
411	D6RG13	672
412	D6RGG3	9189
413	D6RGH6	1158
414	D6RIU2	417
415	D6RJG9	2502
416	E2QRF9	540
417	E5RFK5	849
418	E5RGS4	354
419	E5RGV0	468
420	E5RH77	405
421	E5RHG8	270
422	E5RHT1	390
423	E5RI99	345
424	E5RIH5	1434
425	E5RIL2	678
426	E5RIW3	255
427	E5RK48	531
428	E7EM64	981
429	E7EMK3	1452
430	E7EMZ9	8481
431	E7EN19	3819
432	E7EN77	2760
433	E7ENF1	666
434	E7ENI6	1053
435	E7ENN3	25179
436	E7EPI0	4017
437	E7EQ69	507
438	E7EQG2	1089
439	E7EQL8	4482
440	E7EQR4	1761
441	E7EQS8	6072
442	E7EQV3	1776
443	E7EQV9	525
444	E7EQY4	1545
445	E7ERJ7	1815
446	E7ERK7	2886
447	E7ERP6	252
448	E7ERS3	2934
449	E7ESI2	717
450	E7ESJ3	5130
451	E7ESK6	498
452	E7ET07	1212
453	E7ETA6	6075
454	E7ETB0	729
455	E7ETE0	1140
456	E7ETY2	4467
457	E7ETZ0	342
458	E7EU96	1158
459	E7EVA0	6894
460	E7EVG6	4203
461	E7EVJ3	2478
462	E7EW20	3888
463	E7EW69	1353
464	E7EWD6	4224
465	E7EWX6	714
466	E7EX90	3771
467	E9PAU2	2271
468	E9PAV3	6237
469	E9PAV9	1128
470	E9PB61	795
471	E9PBC6	8628
472	E9PBF6	1164
473	E9PBL8	2889
474	E9PC62	1566
475	E9PC66	1584
476	E9PC69	2337
477	E9PCW1	747
478	E9PD14	462
479	E9PD53	3792
480	E9PDN5	11058
481	E9PDU5	3213
482	E9PEN0	429
483	E9PEP6	2721
484	E9PF10	3984
485	E9PF19	1236
486	E9PFR3	1785
487	E9PG19	2295
488	E9PGF5	5145
489	E9PGT6	522
490	E9PGW7	336
491	E9PH57	2322
492	E9PH82	939
493	E9PH98	261
494	E9PHY5	2808
495	E9PHY8	4899
496	E9PI10	306
497	E9PIN3	1812
498	E9PIZ4	351
499	E9PJ24	4938
500	E9PJ55	1788
501	E9PJF5	735
502	E9PJI5	1110
503	E9PJI6	387
504	E9PJK4	2523
505	E9PJN9	111
506	E9PK14	1878
507	E9PK67	3051
508	E9PK97	132
509	E9PL24	7041
510	E9PLA9	561
511	E9PLD3	300
512	E9PM19	3009
513	E9PM64	1083
514	E9PMP7	3138
515	E9PMS6	3828
516	E9PMU7	744
517	E9PN18	792
518	E9PN89	939
519	E9PPJ0	2637
520	E9PPU1	477
521	E9PPW7	555
522	E9PQ56	969
523	E9PQD7	708
524	E9PQZ5	1182
525	E9PR71	1797
526	E9PRG8	372
527	E9PRI1	1431
528	E9PRZ2	171
529	E9PS74	996
530	E9PSE9	888
531	E9PSF2	3813
532	E9PSI1	2448
533	F1T0I1	7005
534	F2Z2E2	4767
535	F2Z2M5	1215
536	F2Z2U4	11547
537	F2Z393	957
538	F5GWD3	777
539	F5GWN5	4821
540	F5GWP8	1050
541	F5GWT4	6405
542	F5GX40	213
543	F5GXB9	135
544	F5GY68	654
545	F5GYW0	1422
546	F5GZ78	1770
547	F5GZ90	2067
548	F5GZI3	2244
549	F5GZK1	444
550	F5H148	1866
551	F5H1N7	3681
552	F5H282	999
553	F5H284	495
554	F5H365	2211
555	F5H3M2	2175
556	F5H423	633
557	F5H4F1	744
558	F5H5D3	1560
559	F5H5S8	960
560	F5H5U2	1710
561	F5H629	990
562	F5H6C2	1107
563	F5H8B4	4335
564	F6RAJ7	357
565	F6RF56	1251
566	F6TR53	642
567	F6U1T9	483
568	F6U236	1209
569	F6VEM6	777
570	F8VQ14	1251
571	F8VUJ3	1728
572	F8VVB9	741
573	F8VWL3	2712
574	F8VY35	795
575	F8W038	474
576	F8W057	1131
577	F8W118	630
578	F8W1M6	294
579	F8W1R7	438
580	F8W6L3	1731
581	F8W6N3	2136
582	F8W7C6	492
583	F8W7S1	1902
584	F8W7U8	2124
585	F8W881	2688
586	F8W8I6	1158
587	F8W9L8	2979
588	F8WAJ0	2241
589	F8WBZ7	1017
590	F8WC19	114
591	F8WCF6	546
592	F8WCM5	603
593	F8WDT5	390
594	F8WE02	363
595	G3V162	897
596	G3V167	1596
597	G3V1D4	522
598	G3V1L9	5307
599	G3V1M0	1311
600	G3V1N3	1773
601	G3V1X1	1077
602	G3V219	291
603	G3V325	2250
604	G3V3G9	123
605	G3V3R7	990
606	G3V3Y1	864
607	G3V439	510
608	G3V4T2	537
609	G3V529	2451
610	G3V5I9	75
611	G3V5R9	1893
612	G3V5S9	552
613	G3XAG3	471
614	G3XAN4	867
615	G5E962	1203
616	G5E9A6	2763
617	G5E9A7	1950
618	G5E9C8	3957
619	G5E9H3	1023
620	G5E9H6	546
621	G5E9I4	873
622	G5E9L9	2088
623	G5E9M4	873
624	G5E9N2	2046
625	G5E9S8	1650
626	G5E9W2	2295
627	G5E9W7	960
628	G5EA36	2472
629	H0Y2M0	4164
630	H0Y2S9	5385
631	H0Y2U5	732
632	H0Y2V6	4677
633	H0Y3A3	3210
634	H0Y413	1644
635	H0Y4V9	1020
636	H0Y507	3183
637	H0Y5B0	1143
638	H0Y714	843
639	H0Y7E6	330
640	H0Y7P7	1089
641	H0Y7U4	1167
642	H0Y8D1	429
643	H0Y9L7	840
644	H0Y9Y3	3468
645	H0YAA0	294
646	H0YAJ5	2187
647	H0YAY5	711
648	H0YB70	561
649	H0YB92	522
650	H0YB98	816
651	H0YBA1	2295
652	H0YBU6	3117
653	H0YBV7	357
654	H0YC01	135
655	H0YCH8	456
656	H0YD11	630
657	H0YDF6	510
658	H0YDQ3	879
659	H0YDU7	468
660	H0YE48	567
661	H0YEF7	909
662	H0YEX5	948
663	H0YG85	627
664	H0YH87	2508
665	H0YHG0	1572
666	H0YIS7	702
667	H0YJE3	2040
668	H0YJT2	519
669	H0YJZ4	420
670	H0YK48	747
671	H0YKG7	825
672	H0YLN8	5595
673	H0YNH1	246
674	H3BMM9	855
675	H3BMW4	423
676	H3BN98	714
677	H3BNT4	429
678	H3BPE1	22668
679	H3BPU4	1194
680	H3BPZ6	288
681	H3BQ24	1293
682	H3BQK0	1455
683	H3BQM0	1896
684	H3BR10	324
685	H3BRL3	903
686	H3BS42	1530
687	H3BSK8	3027
688	H3BTS1	288
689	H3BUJ7	1965
690	H7BXF5	3171
691	H7BXG1	459
692	H7BXI1	2601
693	H7BXQ9	1569
694	H7BXY6	642
695	H7BYN4	2859
696	H7BYT1	1284
697	H7BYY1	747
698	H7BZF0	114
699	H7BZJ3	372
700	H7C0N4	543
701	H7C1F9	5223
702	H7C1U3	2019
703	H7C2E6	582
704	H7C2N3	474
705	H7C3S6	189
706	H7C417	1017
707	H7C4C8	972
708	H7C4S4	741
709	H7C524	477
710	H7C5G9	513
711	H7C5Q0	627
712	H8Y6P7	2298
713	H9ZYI9	1044
714	I3L0A0	1113
715	I3L0E3	678
716	I3L0N3	2220
717	I3L182	2688
718	I3L1H5	1284
719	I3L1P8	891
720	I3L2B0	3894
721	I3L2C7	3144
722	I3L2N2	2193
723	I3L2W2	4617
724	I3L3H6	702
725	I3L3J2	1278
726	I3L402	441
727	I6L899	1896
728	I6L8A6	2709
729	I6L9I8	957
730	J3KMX2	1371
731	J3KMY6	1170
732	J3KMZ7	3591
733	J3KN16	6054
734	J3KN53	1401
735	J3KN67	858
736	J3KNB8	4665
737	J3KNF4	768
738	J3KNI1	2370
739	J3KNK1	1020
740	J3KNL6	7074
741	J3KNN3	1233
742	J3KNZ9	2943
743	J3KP15	402
744	J3KPD3	804
745	J3KPF9	2109
746	J3KPK1	3795
747	J3KPP0	420
748	J3KQ12	1395
749	J3KQN4	429
750	J3KQY1	699
751	J3KRF5	396
752	J3KRN4	1869
753	J3KS15	579
754	J3KS81	378
755	J3KT76	312
756	J3QL56	813
757	J3QQK6	762
758	J3QQT2	516
759	J3QQT5	441
760	J3QQY0	1386
761	J3QR07	2208
762	J3QR09	582
763	J3QRB6	1962
764	J3QRP0	429
765	J3QRU1	1647
766	J3QSH4	1539
767	J3QSH9	1719
768	J3QT39	2718
769	J3QT77	1029
770	K7EIG1	3756
771	K7EJC8	711
772	K7EJF0	1287
773	K7EJH0	507
774	K7EK07	399
775	K7EK91	13374
776	K7EKC1	714
777	K7EKI8	5265
778	K7EL68	555
779	K7EL81	2214
780	K7ELC4	240
781	K7ELC8	561
782	K7ELE3	795
783	K7ELE9	819
784	K7EM05	810
785	K7EM37	426
786	K7EM38	402
787	K7EMM4	663
788	K7EN02	558
789	K7EN05	231
790	K7ENV2	387
791	K7EPJ8	378
792	K7ER46	399
793	K7ES11	2424
794	K7ES61	903
795	K7ESM5	1017
796	M0QXS5	1593
797	M0QY76	999
798	M0QYT0	966
799	M0R160	465
800	M9MML0	1080
801	O00115	1083
802	O00116	1977
803	O00124	813
804	O00139	2121
805	O00141	1296
806	O00144	1776
807	O00148	1284
808	O00151	990
809	O00154	1143
810	O00155	1086
811	O00159	3192
812	O00160	3297
813	O00161	636
814	O00165	840
815	O00167	1617
816	O00170	993
817	O00178	2010
818	O00180	1011
819	O00182	1068
820	O00186	1779
821	O00189	1362
822	O00192	2889
823	O00193	552
824	O00194	657
825	O00198	276
826	O00203	3285
827	O00204	1098
828	O00206	2520
829	O00212	633
830	O00213	2133
831	O00214	954
832	O00217	633
833	O00220	1407
834	O00221	1503
835	O00231	1269
836	O00232	1371
837	O00233	672
838	O00237	2058
839	O00238	1509
840	O00241	1197
841	O00244	207
842	O00254	1125
843	O00255	1848
844	O00257	1683
845	O00264	588
846	O00267	3264
847	O00268	3258
848	O00273	996
849	O00287	819
850	O00291	3114
851	O00292	1101
852	O00294	1629
853	O00295	1563
854	O00299	726
855	O00300	1206
856	O00303	1074
857	O00305	1563
858	O00308	2613
859	O00311	1725
860	O00322	777
861	O00327	1881
862	O00329	3135
863	O00330	1506
864	O00338	891
865	O00339	2871
866	O00341	1683
867	O00358	1122
868	O00391	2244
869	O00399	573
870	O00400	1650
871	O00401	1518
872	O00408	2826
873	O00409	1473
874	O00410	3294
875	O00411	3693
876	O00418	2178
877	O00421	1035
878	O00422	462
879	O00423	2448
880	O00425	1740
881	O00429	2211
882	O00442	1101
883	O00443	5061
884	O00444	2913
885	O00445	1161
886	O00453	294
887	O00458	1356
888	O00459	2187
889	O00461	2091
890	O00463	1674
891	O00468	6207
892	O00469	2214
893	O00470	1173
894	O00471	2127
895	O00472	1923
896	O00478	1755
897	O00479	273
898	O00481	1542
899	O00482	1626
900	O00483	246
901	O00487	933
902	O00488	405
903	O00499	1782
904	O00505	1566
905	O00506	1281
906	O00507	7668
907	O00512	4281
908	O00515	1554
909	O00519	1740
910	O00522	2211
911	O00526	555
912	O00533	3627
913	O00534	2361
914	O00541	1767
915	O00548	2172
916	O00555	7521
917	O00559	642
918	O00560	897
919	O00562	3735
920	O00566	2046
921	O00567	1785
922	O00570	1176
923	O00571	1989
924	O00585	405
925	O00590	1155
926	O00592	1677
927	O00602	981
928	O00622	1146
929	O00623	1080
930	O00625	873
931	O00626	282
932	O00628	972
933	O00629	1566
934	O00631	96
935	O00634	1743
936	O00635	1398
937	O00712	1263
938	O00716	1398
939	O00743	918
940	O00746	564
941	O00750	4905
942	O00755	1050
943	O00757	1020
944	O00762	540
945	O00763	7377
946	O00764	939
947	O00767	1080
948	O14490	2934
949	O14492	1899
950	O14493	630
951	O14494	855
952	O14495	936
953	O14497	6858
954	O14503	1239
955	O14508	597
956	O14511	2553
957	O14512	1746
958	O14513	5730
959	O14514	4755
960	O14519	348
961	O14521	480
962	O14522	4326
963	O14523	2121
964	O14524	1335
965	O14526	2670
966	O14530	681
967	O14531	1719
968	O14543	678
969	O14544	1608
970	O14545	1749
971	O14548	345
972	O14556	1227
973	O14558	483
974	O14559	3864
975	O14561	471
976	O14562	930
977	O14569	669
978	O14576	1938
979	O14578	6084
980	O14579	927
981	O14581	930
982	O14593	783
983	O14595	816
984	O14599	321
985	O14602	435
986	O14604	135
987	O14607	4044
988	O14610	210
989	O14613	633
990	O14617	3462
991	O14618	825
992	O14625	285
993	O14627	855
994	O14628	1890
995	O14633	333
996	O14639	2337
997	O14640	2088
998	O14641	2211
999	O14645	777
1000	O14646	5133
1001	O14647	5487
1002	O14649	1185
1003	O14653	639
1004	O14654	3774
1005	O14656	999
1006	O14657	1011
1007	O14662	978
1008	O14668	657
1009	O14669	609
1010	O14672	2247
1011	O14678	1821
1012	O14681	1023
1013	O14682	1770
1014	O14683	570
1015	O14684	459
1016	O14686	16614
1017	O14709	3090
1018	O14713	603
1019	O14715	5298
1020	O14717	1176
1021	O14718	1014
1022	O14727	3747
1023	O14730	1560
1024	O14732	867
1025	O14733	1260
1026	O14734	960
1027	O14735	642
1028	O14737	378
1029	O14744	1914
1030	O14745	1077
1031	O14746	3399
1032	O14753	804
1033	O14757	1431
1034	O14763	1323
1035	O14764	1359
1036	O14770	1434
1037	O14771	1380
1038	O14773	1692
1039	O14775	1188
1040	O14776	3297
1041	O14777	1929
1042	O14782	2382
1043	O14786	2772
1044	O14787	2694
1045	O14788	954
1046	O14791	1197
1047	O14793	1128
1048	O14795	4776
1049	O14796	399
1050	O14798	780
1051	O14802	4173
1052	O14807	627
1053	O14810	405
1054	O14817	717
1055	O14818	747
1056	O14827	3714
1057	O14828	1044
1058	O14829	1962
1059	O14830	2262
1060	O14832	1017
1061	O14836	882
1062	O14841	3867
1063	O14862	1032
1064	O14863	1290
1065	O14867	2211
1066	O14874	1239
1067	O14879	1473
1068	O14880	459
1069	O14893	843
1070	O14896	1404
1071	O14901	1539
1072	O14904	1098
1073	O14905	1074
1074	O14907	375
1075	O14908	1002
1076	O14910	702
1077	O14917	3480
1078	O14920	2271
1079	O14921	480
1080	O14924	4344
1081	O14925	630
1082	O14929	1260
1083	O14931	606
1084	O14933	462
1085	O14936	2781
1086	O14939	2802
1087	O14944	510
1088	O14948	1044
1089	O14949	249
1090	O14950	519
1091	O14957	171
1092	O14958	1200
1093	O14960	456
1094	O14964	2334
1095	O14965	1212
1096	O14966	612
1097	O14967	1833
1098	O14972	894
1099	O14974	3093
1100	O14975	1863
1101	O14976	3936
1102	O14977	1347
1103	O14978	2052
1104	O14979	1263
1105	O14980	3216
1106	O14981	5550
1107	O14983	3006
1108	O14986	1623
1109	O14990	609
1110	O15013	4110
1111	O15014	4236
1112	O15015	5499
1113	O15018	8520
1114	O15020	7173
1115	O15021	7872
1116	O15027	7074
1117	O15031	5517
1118	O15033	2472
1119	O15034	3159
1120	O15037	2037
1121	O15040	4236
1122	O15041	2328
1123	O15042	3090
1124	O15047	5124
1125	O15049	1635
1126	O15050	8778
1127	O15054	4932
1128	O15055	3768
1129	O15056	4491
1130	O15060	2139
1131	O15061	4698
1132	O15062	2034
1133	O15063	3213
1134	O15066	2244
1135	O15067	4017
1136	O15068	3414
1137	O15069	4689
1138	O15072	3618
1139	O15075	2223
1140	O15078	7440
1141	O15079	1485
1142	O15083	2874
1143	O15084	3162
1144	O15085	4569
1145	O15090	3903
1146	O15091	1752
1147	O15105	1281
1148	O15111	2238
1149	O15116	402
1150	O15117	2352
1151	O15118	3837
1152	O15119	2232
1153	O15120	837
1154	O15121	972
1155	O15123	1491
1156	O15126	1017
1157	O15127	990
1158	O15130	342
1159	O15131	1611
1160	O15143	1119
1161	O15144	903
1162	O15145	537
1163	O15146	2610
1164	O15151	1473
1165	O15155	357
1166	O15156	1620
1167	O15160	1041
1168	O15162	957
1169	O15164	3153
1170	O15165	921
1171	O15169	2589
1172	O15173	672
1173	O15178	1308
1174	O15182	504
1175	O15194	831
1176	O15195	2571
1177	O15197	3066
1178	O15198	1404
1179	O15205	498
1180	O15209	1905
1181	O15211	2334
1182	O15212	390
1183	O15213	1833
1184	O15217	669
1185	O15226	2073
1186	O15228	2043
1187	O15230	11088
1188	O15231	2070
1189	O15232	1461
1190	O15234	2112
1191	O15235	417
1192	O15239	213
1193	O15240	1848
1194	O15243	396
1195	O15244	1668
1196	O15245	1665
1197	O15247	744
1198	O15254	2103
1199	O15255	630
1200	O15258	591
1201	O15259	2199
1202	O15260	810
1203	O15264	1098
1204	O15265	2679
1205	O15266	879
1206	O15269	1422
1207	O15270	1689
1208	O15273	504
1209	O15287	1869
1210	O15294	3141
1211	O15296	2031
1212	O15297	1818
1213	O15304	528
1214	O15305	741
1215	O15315	1155
1216	O15318	672
1217	O15320	4239
1218	O15321	1821
1219	O15327	2775
1220	O15344	2004
1221	O15347	603
1222	O15350	1911
1223	O15353	1947
1224	O15354	1842
1225	O15355	1641
1226	O15357	3777
1227	O15360	4368
1228	O15370	948
1229	O15371	1647
1230	O15372	1059
1231	O15374	1464
1232	O15375	1518
1233	O15379	1287
1234	O15381	2571
1235	O15382	1179
1236	O15389	1656
1237	O15391	1119
1238	O15392	429
1239	O15393	1479
1240	O15394	2514
1241	O15397	3114
1242	O15399	4011
1243	O15400	786
1244	O15403	1572
1245	O15405	1731
1246	O15409	2148
1247	O15417	8907
1248	O15427	1398
1249	O15428	303
1250	O15431	573
1251	O15438	4584
1252	O15439	3978
1253	O15440	4314
1254	O15442	981
1255	O15446	1533
1256	O15455	2715
1257	O15457	2811
1258	O15460	1608
1259	O15466	1131
1260	O15467	363
1261	O15479	960
1262	O15481	1041
1263	O15482	1233
1264	O15484	1923
1265	O15488	1506
1266	O15492	609
1267	O15496	498
1268	O15498	597
1269	O15503	834
1270	O15504	1272
1271	O15511	456
1272	O15514	429
1273	O15516	2541
1274	O15519	1443
1275	O15520	627
1276	O15523	1983
1277	O15524	636
1278	O15525	489
1279	O15527	1038
1280	O15530	1671
1281	O15533	1347
1282	O15534	3873
1283	O15535	1185
1284	O15537	675
1285	O15539	546
1286	O15540	399
1287	O15541	1032
1288	O15544	450
1289	O15547	1326
1290	O15550	4206
1291	O15551	663
1292	O15552	993
1293	O15553	2346
1294	O15554	1284
1295	O43143	2388
1296	O43147	3021
1297	O43148	1431
1298	O43149	8886
1299	O43150	3021
1300	O43151	5388
1301	O43155	1983
1302	O43156	3270
1303	O43157	6408
1304	O43159	1371
