UniprotKB	GeneSymbol	GC3	T2	Conections
A0PJY2	FEZF1	71.4285714285714	22.6890756302521	6
A0PK00	TMEM120B	79.4117647058823	33.5294117647059	17
A0PK05	TMEM72	77.1739130434783	31.1594202898551	2
A0PK11	CLRN2	70.3862660944206	40.343347639485	5
A1A4F0	PQLC2L	48.7394957983193	31.0924369747899	1
A1A4S6	ARHGAP10	49.8094027954257	26.4294790343075	6
A1A580	KRTAP23-1	72.7272727272727	21.2121212121212	8
A1A5B4	ANO9	86.7177522349936	34.7381864623244	1
A1A5C7	SLC22A23	82.8238719068413	32.6055312954876	4
A1A5D9	BICDL2	82.7111984282908	21.6110019646365	4
A1E959	ODAM	35.7142857142857	27.8571428571429	11
A1KXE4	FAM168B	57.6530612244898	16.3265306122449	46
A1L0T0	ILVBL	74.2496050552922	32.0695102685624	18
A1L162	ERICH2	34.3949044585987	19.1082802547771	4
A1L170	C1orf226	65.5677655677656	20.8791208791209	3
A1L190	SYCE3	73.0337078651685	29.2134831460674	5
A1L390	PLEKHG3	74.8360655737705	22.0491803278689	12
A1L3X0	ELOVL7	46.4539007092199	37.2340425531915	1
A1L3X4	MT1DP	69.2307692307692	42.3076923076923	4
A1L429	GAGE12E	38.135593220339	7.6271186440678	2
A1L453	PRSS38	70.4268292682927	30.7926829268293	1
A1L4H1	SSC5D	69.2532942898975	14.8609077598829	15
A1L4K1	FSD2	50.5333333333333	24.8	88
A1L4L8	PLAC8L1	53.9325842696629	29.2134831460674	1
A1X283	SH3PXD2B	71.6008771929825	21.0526315789474	6
A1XBS5	FAM92A	34.8275862068965	24.8275862068966	4
A1YPR0	ZBTB7C	82.9032258064516	24.3548387096774	5
A2A274	ACO2	71.4993804213135	25.4027261462206	1
A2A2Q9	AAR2	69.5	30.25	1
A2A2Y4	FRMD3	55.685618729097	29.0969899665552	15
A2A3K4	PTPDC1	47.4172185430464	26.7549668874172	5
A2A3R5	RPS6	43.1818181818182	22.2727272727273	2
A2A4F6	CEP350	32.0610687022901	18.3206106870229	1
A2ABF9	EHMT2	71.23719464145	21.6706067769898	11
A2ABH1	CCHCR1	71.1354309165527	23.6662106703146	4
A2AJT9	CXorf23	32.129963898917	24.9097472924188	1
A2RRC6	ZFHX2	63.8141809290954	20.5378973105134	4
A2RRD8	ZNF320	33.7254901960784	18.8235294117647	2
A2RRE0	WDR7	46.2009803921569	28.0637254901961	1
A2RRH5	WDR27	53.2147742818057	26.812585499316	1
A2RRP1	NBAS	44.3929173693086	28.1197301854975	11
A2RTX5	TARSL2	51.4321295143213	27.3972602739726	17
A2RTY3	HEATR9	60.7705779334501	28.5464098073555	1
A2RU14	TMEM218	60.3448275862069	50.8620689655172	21
A2RU30	TESPA1	60.1532567049808	22.2222222222222	2
A2RU48	SMCO3	43.3628318584071	33.6283185840708	3
A2RU54	HMX2	87.2262773722628	18.978102189781	2
A2RU67	FAM234B	54.7351524879615	30.3370786516854	1
A2RUB6	CCDC66	33.5648148148148	21.1805555555556	13
A2RUH7	MYBPHL	65.6338028169014	24.2253521126761	3
A2RUR9	CCDC144A	37.3249299719888	23.4593837535014	1
A2RUS2	DENND3	73.6704446381866	30.514385353095	3
A2RUT3	TMEM89	76875	28125	1
A2VCK2	DCDC2B	60.8571428571429	22.8571428571429	8
A2VDF0	FUOM	79.8507462686567	32.8358208955224	1
A2VDJ0	TMEM131L	46.3064295485636	25.8549931600547	1
A3KFJ0	AURKA	39.1089108910891	24.5049504950495	1
A3KMH1	VWA8	41.5384615384615	31.4285714285714	11
A3KN83	SBNO1	32.0659971305595	26.1836441893831	8
A4D0S4	LAMB4	46.7650397275823	21.850170261067	1
A4D104	LOC401307	49.2753623188406	26.0869565217391	1
A4D161	FAM221A	39.4648829431438	22.0735785953177	9
A4D1B5	GSAP	45.0292397660819	32.5146198830409	2
A4D1E9	GTPBP10	31.1855670103093	31.1855670103093	5
A4D1P6	WDR91	71.3903743315508	25.8021390374332	7
A4D1S5	RAB19	68.348623853211	28.8990825688073	5
A4D2P6	GRID2IP	77.0077720207254	23.3160621761658	1
A4FU01	MTMR11	56.1971830985916	26.4788732394366	1
A4FU49	SH3D21	66.4086687306501	19.3498452012384	2
A4GXA9	EME2	80.7894736842105	23.4210526315789	2
A4QMS7	C5orf49	69.5945945945946	20.2702702702703	3
A4QPB2	LRP5L	79.0513833992095	24.901185770751	2
A4QPH2	PI4KAP2	77.2344013490725	30.0168634064081	1
A4UGR9	XIRP2	32.3072325164375	23.4010759115362	4
A5A3E0	POTEF	57.1030640668524	24.4196843082637	2
A5D8T8	CLEC18A	78.2997762863535	21.923937360179	6
A5D8V6	VPS37C	71.0674157303371	20.7865168539326	87
A5D8V7	CCDC151	81.8791946308725	23.8255033557047	14
A5PKW4	PSD	70.8292682926829	19.7073170731707	8
A5PL33	KRBA1	65.6644034917556	16.1978661493695	4
A5PLL7	TMEM189	81.1808118081181	30.2583025830258	1
A5PLN9	TRAPPC13	35.3510895883777	31.7191283292978	9
A5X5Y0	HTR3E	73.5229759299781	34.5733041575492	1
A5YKK6	CNOT1	43.4160706773244	30.7530500631048	64
A5YM72	CARNS1	77.7777777777778	29.7101449275362	1
A6BM72	MEGF11	69.6650717703349	15.1196172248804	2
A6H8Y1	BDP1	31.5809523809524	21.6	8
A6H8Z2	FAM221B	57.3200992555831	18.6104218362283	9
A6NC98	CCDC88B	78.4698713608666	21.4624238320921	39
A6NCE7	MAP1LC3B2	59.0551181102362	33.8582677165354	3
A6NCF5	KLHL33	59.6916299559471	26.2114537444934	1
A6ND01	IZUMO1R	74.5901639344262	22.9508196721311	1
A6ND36	FAM83G	77.9126213592233	22.3300970873786	5
A6ND48	OR14I1	59.9358974358974	42.3076923076923	1
A6ND91	ASPDH	71.8390804597701	16.9540229885057	1
A6NDB9	PALM3	63.6604774535809	17.3740053050398	2
A6NDB9	PALM3	63.6604774535809	17.3740053050398	2
A6NDS4	TBC1D3B	68.5454545454545	22.5454545454545	9
A6NDU8	C5orf51	35.1351351351351	28.3783783783784	1
A6NE52	WDR97	81.9047619047619	28.2783882783883	1
A6NE70	BCOR	58.1572769953052	20.8920187793427	1
A6NEK1	ARRDC5	65.7509157509158	26.9230769230769	1
A6NEM1	GOLGA6L9	66.1670235546039	19.7002141327623	204
A6NEM2	HCFC1	72.7897838899804	22.3477406679764	2
A6NEQ0	RBMY1E	25.1004016064257	10.0401606425703	2
A6NEW6	FAM90A17P	62.3655913978495	17.6344086021505	1
A6NFI3	ZNF316	86.5805168986084	16.3021868787276	1
A6NFR6	C5orf60	60.431654676259	24.4604316546763	5
A6NFT4	CFAP73	71.4851485148515	22.970297029703	1
A6NFY7	SDHAF1	86.2068965517241	18.1034482758621	6
A6NG10	WBP2	66.542750929368	20.4460966542751	1
A6NGB9	WIPF3	50.6172839506173	23.8366571699905	2
A6NGC4	TLCD2	51.1551155115512	16.5016501650165	2
A6NGG8	C2orf71	53.429158110883	19.0965092402464	5
A6NGG8	C2orf71	53.6996336996337	15.0915750915751	5
A6NGK3	GAGE10	38.4615384615385	7.69230769230769	2
A6NGR9	MROH6	73.2472324723247	13.09963099631	1
A6NH52	TVP23A	68.2242990654206	37.3831775700935	2
A6NHL2	TUBAL3	62.4161073825503	28.4116331096197	6
A6NHQ2	FBLL1	91.6666666666667	22.9166666666667	2
A6NHQ4	EPOP	77.1653543307087	14.4356955380577	19
A6NHR9	SMCHD1	27.032967032967	30.1831501831502	9
A6NHV6	PKMYT1	79.4642857142857	25.2232142857143	1
A6NI15	MSGN1	73.7113402061856	20.6185567010309	20
A6NI56	CCDC154	85.7784431137725	25.5988023952096	3
A6NI79	CCDC69	65.3198653198653	24.2424242424242	5
A6NIH7	UNC119B	67.0634920634921	26.1904761904762	5
A6NIM6	SLC15A5	64.9842271293375	33.4384858044164	1
A6NIR3	AGAP5	62.5	22.5290697674419	1
A6NIV6	LRRIQ4	56.8144499178982	32.3481116584565	1
A6NJ69	IGIP	48.1481481481481	29.6296296296296	1
A6NJ78	METTL15	36.7647058823529	28.1862745098039	14
A6NJB7	PRR19	64.9859943977591	21.8487394957983	8
A6NJZ7	RIMBP3C	75.4758418740849	20.497803806735	1
A6NK44	GLOD5	52.6315789473684	19.4331983805668	1
A6NK44	GLOD5	52.6315789473684	19.4331983805668	1
A6NK53	ZNF233	43.2190760059613	19.9701937406855	2
A6NK75	ZNF98	33.6466165413534	17.4812030075188	1
A6NK89	RASSF10	80.3571428571429	19.4805194805195	38
A6NK97	SLC22A20	79.7127468581688	33.7522441651706	1
A6NKD2	TSPY2	71.8446601941748	25.5663430420712	1
A6NKD9	CCDC85C	62.4008461131676	17.7154944473823	24
A6NKE1	TRAPPC3	51.6666666666667	24.1666666666667	1
A6NKF2	ARID3C	69.4915254237288	21.0653753026634	2
A6NKN8	PCP4L1	52.1739130434783	14.4927536231884	1
A6NKT7	RGPD3	31.5519765739385	25.1830161054173	5
A6NLX3	SPDYE4	72.6890756302521	25.6302521008403	10
A6NNN6	PCM1	30.8064516129032	21.5591397849462	1
A6NNT2	C16orf96	67.5131348511384	25.2189141856392	1
A6NNY8	USP27X	75.4863813229572	25.0972762645914	2
A6PVS8	LRRIQ3	25.76	29.76	1
A6QL63	BTBD11	74.9321266968326	26.6968325791855	1
A6XGL0	YJEFN3	81.3333333333333	27	1
A6ZKI3	RTL8C	85.9649122807018	32.4561403508772	13
A7E2F4	GOLGA8A	61.8670886075949	18.5126582278481	1
A7E2V4	ZSWIM8	63.8737758433079	21.9260065288357	4
A7E2Y1	MYH7B	82.4596774193548	24.1935483870968	22
A7KAX9	ARHGAP32	47.1743295019157	21.7432950191571	20
A7MCY6	TBKBP1	84.4155844155844	19.6428571428571	15
A7MD48	SRRM4	73.5294117647059	7.84313725490196	30
A7XYQ1	SOBP	71.8535469107552	20.9382151029748	2
A8CG34	POM121C	63.0894308943089	17.7235772357724	14
A8K0R7	ZNF839	53.6945812807882	22.6600985221675	2
A8K0Z3	WASHC1	73.9872068230277	23.0277185501066	12
A8K2U0	A2ML1	55.7388316151203	28.9347079037801	4
A8K7I4	CLCA1	42.4043715846995	26.6666666666667	1
A8K7Q2	HSPA8	46.4630225080386	26.2057877813505	6
A8K8P3	SFI1	68.6242960579244	23.4111021721641	8
A8K8V0	ZNF785	79.064039408867	18.4729064039409	19
A8K979	ERI2	32.5542570951586	25.542570951586	1
A8KAD9	ZNF561	33.9712918660287	20.5741626794258	1
A8MQ03	CYSRT1	84.1379310344828	15.8620689655172	513
A8MQ11	PMS2P5	52.5641025641026	23.0769230769231	1
A8MQ27	NEURL1B	90.8273381294964	23.9208633093525	1
A8MRB1	S100B	51.5789473684211	25.2631578947368	5
A8MT69	CENPX	81.7073170731707	37.8048780487805	7
A8MTA8	FAM166B	63.4057971014493	24.6376811594203	5
A8MTY0	ZNF724	34.0322580645161	18.3870967741935	1
A8MTY9	DSCR3	63.4228187919463	33.8926174496644	2
A8MTZ0	BBIP1	34.7826086956522	30.4347826086957	9
A8MTZ0	BBIP1	38.2222222222222	29.4814814814815	9
A8MUD9	RPL7	48.5714285714286	30	1
A8MUP2	METTL12	61.4107883817427	29.4605809128631	6
A8MUS3	RPL23A	56.6326530612245	27.0408163265306	1
A8MV65	VGLL3	56.5749235474006	18.348623853211	66
A8MV81	HIGD1C	36.734693877551	31.6326530612245	8
A8MVS5	HIDE1	73.5930735930736	27.2727272727273	2
A8MVW0	FAM171A2	88.0410022779043	22.2095671981777	1
A8MW92	PHF20L1	36.1138370951914	20.9028459273798	11
A8MW95	BECN2	74.537037037037	25.6944444444444	6
A8MX94	GSTP1	81.8181818181818	30.6818181818182	1
A8MXD5	GRXCR1	40.785498489426	28.3987915407855	7
A8MXD5	GRXCR1	40.785498489426	28.3987915407855	7
A8MXP9	MATR3	33.0188679245283	20.6367924528302	1
A8MXQ7	IQANK1	85.8864027538726	22.3752151462995	1
A8MXV4	NUDT19	50.7583417593529	30.0303336703741	1
A8MXV4	NUDT19	50.7583417593529	30.0303336703741	1
A8MYJ7	TTC34	48.2758620689655	10.5090311986864	1
A8MYJ7	TTC34	75.018315018315	10.1098901098901	1
A8MYP8	ODF3B	64.1509433962264	9.74842767295597	10
A8MYU2	KCNU1	47.3913043478261	32.695652173913	2
A8MYZ6	FOXO6	91.25	18.5714285714286	12
A8MZ97	C2orf74	36.8243243243243	29.0540540540541	1
A8MZ97	C2orf74	36.8243243243243	29.0540540540541	1
A9IYQ1	PDS5B	33.3333333333333	14.5214521452145	2
A9QM74	KPNA7	62.669245647969	31.5280464216634	1
A9UHW6	MIF4GD	73.9910313901345	31.390134529148	18
A9Z1X7	SRRM1	37.5152253349574	10.7186358099878	3
B0I1T2	MYO1G	79.4896957801766	27.8704612365064	5
B0QY89	EIF3L	64.2036124794745	28.735632183908	1
B0YJ81	HACD1	52.5773195876289	34.020618556701	14
B1AK88	CAPZB	61.9047619047619	24.702380952381	1
B1AKQ8	GNB1	67.1554252199413	24.9266862170088	1
B1AL05	MRPL43	74.384236453202	25.615763546798	4
B1AL69	CDC37L1	35.8064516129032	23.8709677419355	1
B1ALA9	PRPS1	53.8461538461538	31.1188811188811	1
B1ALG1	SMARCA2	46.4135021097046	19.4092827004219	2
B1ALK7	ARHGEF7	55.3041018387553	24.045261669024	1
B1AM27	UNC13B	58.7212911235258	26.0707635009311	1
B1AQ61	UBE4B	43.1372549019608	23.5294117647059	1
B1AVT0	CLK2	61.8	21	1
B2R5W2	HNRNPC	47.766323024055	20.6185567010309	1
B2RNN3	C1QTNF9B	52.6946107784431	21.2574850299401	2
B2RPK0	HMGB1P1	45.2830188679245	13.2075471698113	1
B2RTY4	MYO9A	40.133385641428	26.480972930561	6
B2RUY7	VWC2L	41.2556053811659	21.0762331838565	18
B2RUZ4	SMIM1	84.8101265822785	27.8481012658228	10
B2RV13	C17orf105	52.1212121212121	22.4242424242424	1
B2RXF5	ZBTB42	79.1962174940898	22.9314420803783	47
B2RXH8	HNRNPCL2	49.6598639455782	20.4081632653061	7
B2WTI3	JMJD6	61.3095238095238	21.7261904761905	1
B3EWF7	EPM2A	73.8515901060071	22.6148409893993	2
B3EWG5	FAM25C	61.1111111111111	22.2222222222222	1
B3KNS4	ERVK3-1	50.9090909090909	20	4
B4DDK6	TIMM23B	48.936170212766	29.0780141843972	5
B4DEH8	PABPN1	55.6213017751479	21.8934911242604	1
B4DF87	NCOA4	51.4563106796116	23.3009708737864	3
B4DFN3	PKD2	49.6124031007752	29.7157622739018	2
B4DGU4	CTNNB1	41.0485933503836	28.6445012787724	3
B4DLN1	SLC25A10	76.2979683972912	30.9255079006772	4
B4DR80	STK24	59.0799031476998	25.4237288135593	8
B4DUA4	SRSF5	33.0935251798561	23.7410071942446	1
B4DVN3	MAEA	83.3333333333333	27.020202020202	1
B4DVT3	INTS14	46.7908902691511	30.8488612836439	1
B4DXD0	TSNAXIP1	71.2482468443198	27.4894810659187	2
B4DXZ6	FXR1	30.3776683087028	23.4811165845649	1
B4DY08	HNRNPC	49.4809688581315	20.7612456747405	2
B4DZ85	NCOA4	50.0792393026941	23.9302694136292	2
B4E127	TDG	35.6877323420074	23.4200743494424	2
B4E1G1	DERL1	59.8684210526316	33.5526315789474	8
B4E1Q4	RIOK3	35.3174603174603	26.1904761904762	4
B4E3T4	RBPMS	50.2222222222222	24	2
B5MC10	MPV17	49	20	1
B5MC15	CBLB	37.4364191251272	23.7029501525941	1
B5MCE7	BZW2	52.0304568527919	30.2030456852792	1
B5MCU0	R3HDM2	58.8304093567251	21.9883040935673	1
B5MCW2	RPL3	72.1611721611722	26.007326007326	1
B5MD87	PYCR3	82.4561403508772	28.0701754385965	2
B5MDE0	RFT1	57.7380952380952	40.8730158730159	2
B5MDF5	RAN	51.6949152542373	29.2372881355932	1
B5MDQ0	ERCC6L	34.0124003542958	26.7493356953056	1
B5ME19	EIF3CL	71.0698689956332	24.7816593886463	6
B5ME97	SEPT10	43.050193050193	29.7297297297297	2
B7Z3H4	BTRC	45	27.0689655172414	3
B7Z4B8	HNRNPUL1	63.1510416666667	16.6666666666667	1
B7Z503	BTBD10	33.0578512396694	23.5537190082645	1
B7Z6Z4	MYL6	66.5271966527197	24.2677824267782	1
B7ZAQ6	GPR89A	49.3421052631579	43.859649122807	5
B7ZBB8	PPP1R3G	86.6666666666667	19.7222222222222	1
B7ZBC8	KATNA1	36.7886178861789	26.219512195122	1
B7ZKJ8	ITIH4	69.7649572649573	28.3119658119658	1
B7ZLI8	STK19	66.7701863354037	30.1242236024845	6
B8A4K4	CYSRT1	79.0322580645161	13.9784946236559	1
B8ZZA8	GLS	36.1742424242424	28.4090909090909	1
B8ZZQ6	PTMA	51.3761467889908	7.3394495412844	2
B9A064	IGLL5	73.0232558139535	20.9302325581395	1
C0H5X0	MMP28	75.1269035532995	24.8730964467005	1
C4AM86	KRT35	77.0491803278689	23.4192037470726	1
C6GKH1	IL32	65.6804733727811	26.0355029585799	2
C9J050	PCYT1A	52.3809523809524	25.5102040816327	1
C9J0K6	SRI	45625	23.75	3
C9J0Q5	NCOR2	81.2998405103668	18.1818181818182	1
C9J1X0	WDR91	69.8879551820728	25.7703081232493	5
C9J2C0	TUBA8	70.9401709401709	27.5641025641026	2
C9J2Y9	POLR2B	36.0992301112062	28.8280581693755	8
C9J384	CMSS1	48.4732824427481	31.2977099236641	2
C9J4K5	DONSON	44.973544973545	26.63139329806	1
C9J6P4	ZC3HAV1	54.5012165450122	21.4111922141119	2
C9J9C1	PPP2R1A	76.7676767676768	29.7979797979798	3
C9J9K3	RPSA	51.3513513513513	24.3243243243243	5
C9JA28	SSR3	51.7045454545455	32.9545454545455	10
C9JA69	BBX	39.3640350877193	19.2982456140351	4
C9JC32	TRAK1	72.1293199554069	24.0802675585284	2
C9JCN9	HSBP1L1	49.3333333333333	29.3333333333333	1
C9JDE9	ACAA1	70.1298701298701	27.2727272727273	1
C9JE12	TMUB1	71.2418300653595	23.5294117647059	4
C9JE98	NCOR2	81.7221770917953	18.2372055239643	3
C9JFE4	GPS1	84.469696969697	27.0833333333333	2
C9JFV4	PELP1	61.6426756985605	23.8780694326842	1
C9JG97	AAMP	67.1081677704194	25.1655629139073	4
C9JIZ3	GCA	35.678391959799	26.6331658291457	2
C9JJ79	PILRA	64.3171806167401	21.5859030837004	5
C9JJV6	MYADM	89.1156462585034	35.3741496598639	2
C9JKI3	CAV1	66.9064748201439	36.6906474820144	7
C9JLU1	POLR2H	53.6423841059603	31.1258278145695	7
C9JLW8	MCRIP1	73.3496332518338	20.0488997555012	2
C9JMG5	HIP1	65.213082259663	26.0654112983152	1
C9JNE2	OARD1	40.9090909090909	25	3
C9JNW5	RPL24	50	23.0263157894737	1
C9JP00	MBNL1	44.2857142857143	23.1428571428571	2
C9JQV0	C7orf50	75.5102040816327	20.9183673469388	1
C9JRY4	SEC22A	36.986301369863	31.5068493150685	2
C9JWI7	TACC3	68.8935281837161	23.7995824634656	1
C9JWJ8	NFIX	75.7425742574257	22.2772277227723	3
C9JWL4	AP4M1	72.3118279569892	27.1505376344086	1
C9JX80	MAD1L1	84.2105263157895	25.9968102073365	1
C9JXB8	RPL24	56.5573770491803	21.3114754098361	1
C9JYE9	E2F5	38.2470119521912	25.8964143426295	1
C9JYL6	RET	75.9462759462759	27.2283272283272	1
C9JYM0	POP7	74.6478873239437	26.056338028169	1
C9JYQ9	RPL22L1	44.3548387096774	25	1
C9JZP6	DHRS2	70.7641196013289	30.2325581395349	2
C9K0J5	RAPH1	45.7822085889571	20.9355828220859	1
D2IYK5	TCF19	64.4508670520231	21.9653179190751	2
D3DQZ6	ZCSL3	34.1176470588235	23.5294117647059	1
D3DTT2	CDRT4	52.9411764705882	22.2222222222222	1
D3W0D1	KLRF2	43.75	31.25	3
D6R9M0	KIF2A	26.8714011516315	26.679462571977	1
D6R9U7	POLR3G	28.5714285714286	16.5178571428571	2
D6RA89	PEX10	84.3601895734597	26.5402843601896	3
D6RA96	RTEL1-TNFRSF6B	75.4803996925442	23.5203689469639	14
D6RAN8	MRPL27	51.0416666666667	23.9583333333333	6
D6RBZ0	HNRNPAB	65.6534954407295	16.4133738601824	2
D6REM6	MATR3	32.6633165829146	20.4773869346734	1
D6REX3	SEC31A	39.8244213886672	24.0223463687151	1
D6RF48	STX18	48.7096774193548	25.1612903225806	2
D6RF93	NFKB1	49.0494296577947	26.9961977186312	1
D6RFM5	SDHA	62.406015037594	25.5639097744361	1
D6RG13	RPS3A	43.3962264150943	27.9245283018868	1
D6RGG3	COL12A1	36.9692532942899	27.3060029282577	1
D6RGH6	MCIDAS	78.4974093264249	22.020725388601	4
D6RIU2	CLDND1	43.2432432432432	32.4324324324324	1
D6RJG9	SNX14	31.2849162011173	33.072625698324	1
E2QRF9	GMNN	32.7777777777778	22.2222222222222	1
E5RFK5	CCNC	35.9154929577465	32.3943661971831	1
E5RGS4	PFDN1	47.4576271186441	34.7457627118644	2
E5RGV0	HNRNPH1	50.6410256410256	29.4871794871795	1
E5RH77	RPS14	58.0882352941177	24.2647058823529	1
E5RHG8	ELOC	41.1111111111111	25.5555555555556	7
E5RHT1	PSEN2	78.7810383747178	35.4401805869075	2
E5RI99	RPL30	54.7008547008547	26.4957264957265	1
E5RIH5	TTI2	52.4008350730689	30.2713987473904	1
E5RIL2	CNOT8	49.7907949790795	33.0543933054393	2
E5RIW3	TBCA	34.8837209302326	23.2558139534884	1
E5RK48	RDH10	48.876404494382	32.5842696629214	1
E7EM64	COPS6	68.693009118541	31.306990881459	3
E7EMK3	FLOT2	72.6315789473684	29.4736842105263	1
E7EMZ9	TACC2	55.1467987265653	16.6607711354793	2
E7EN19	MAP4K4	51.015625	22.890625	5
E7EN77	NCAPD2	58.936170212766	30.8510638297872	1
E7ENF1	C12orf43	62.6126126126126	17.1171171171171	2
E7ENI6	ICA1	42.0454545454545	29.5454545454545	1
E7ENN3	SYNE1	54.3923865300146	26.9399707174231	1
E7EPI0	IBTK	30.6198655713219	28.0806572068708	5
E7EQ69	NAA50	46.7836257309941	29.8245614035088	1
E7EQG2	EIF4A2	43.1318681318681	31.3186813186813	1
E7EQL8	TUBGCP6	71.619812583668	24.2302543507363	1
E7EQR4	EZR	70.9183673469388	24.6598639455782	1
E7EQS8	TET2	38.8726207906296	20.1317715959004	1
E7EQV3	PABPC1	35.7504215851602	24.9578414839798	1
E7EQV9	RPL15	54.6341463414634	20.9756097560976	1
E7EQY4	MTA3	40.6976744186046	24.2248062015504	5
E7ERJ7	PABPC1	40.6611570247934	24.7933884297521	2
E7ERK7	TBC1D31	34.6832814122534	28.9719626168224	6
E7ERP6	NCK2	82.1428571428571	25	2
E7ERS3	ZC3H18	64.8261758691206	10.7361963190184	4
E7ESI2	CDK2	56.4853556485356	32.6359832635983	2
E7ESJ3	ANKRD26	32.7156919513607	23.9722061378112	1
